epochs,batch,wd,lr,train_accuracy,val_accuracy,test_accuracy
5,8,0.1,5e-05,1.0,0.9736842105263158,0.9782608695652174
5,8,0.1,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,8,0.01,1e-05,0.9797297297297297,0.8947368421052632,0.9130434782608695
5,8,0.01,2e-05,0.9932432432432432,1.0,0.9565217391304348
5,8,0.01,5e-05,1.0,0.9736842105263158,0.9782608695652174
5,8,0.01,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,8,0.001,1e-05,0.9797297297297297,0.8947368421052632,0.9130434782608695
5,8,0.001,2e-05,0.9932432432432432,1.0,0.9565217391304348
5,8,0.001,5e-05,1.0,0.9736842105263158,0.9782608695652174
5,8,0.001,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,8,0.0001,1e-05,0.9797297297297297,0.8947368421052632,0.9130434782608695
5,8,0.0001,2e-05,0.9932432432432432,1.0,0.9565217391304348
5,8,0.0001,5e-05,1.0,0.9736842105263158,0.9782608695652174
5,8,0.0001,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,16,0.1,1e-05,0.9527027027027027,0.8947368421052632,0.8913043478260869
5,16,0.1,2e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
5,16,0.1,5e-05,0.9932432432432432,1.0,0.9565217391304348
5,16,0.1,0.0001,1.0,0.9736842105263158,0.9782608695652174
5,16,0.01,1e-05,0.9527027027027027,0.8947368421052632,0.8913043478260869
5,16,0.01,2e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
5,16,0.01,5e-05,0.9932432432432432,1.0,0.9565217391304348
5,16,0.01,0.0001,1.0,0.9736842105263158,0.9782608695652174
5,16,0.001,1e-05,0.9527027027027027,0.8947368421052632,0.8913043478260869
5,16,0.001,2e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
5,16,0.001,5e-05,0.9932432432432432,1.0,0.9565217391304348
5,16,0.001,0.0001,1.0,0.9736842105263158,0.9782608695652174
5,16,0.0001,1e-05,0.9527027027027027,0.8947368421052632,0.8913043478260869
5,16,0.0001,2e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
5,16,0.0001,5e-05,0.9932432432432432,1.0,0.9565217391304348
5,16,0.0001,0.0001,1.0,0.9736842105263158,0.9782608695652174
5,32,0.1,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,32,0.1,2e-05,0.9864864864864865,0.9736842105263158,0.9347826086956522
5,32,0.1,5e-05,0.9864864864864865,1.0,1.0
5,32,0.1,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,32,0.01,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,32,0.01,2e-05,0.9864864864864865,0.9736842105263158,0.9347826086956522
5,32,0.01,5e-05,0.9864864864864865,1.0,1.0
5,32,0.01,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,32,0.001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,32,0.001,2e-05,0.9864864864864865,0.9736842105263158,0.9347826086956522
5,32,0.001,5e-05,0.9864864864864865,1.0,1.0
